codigo_serie,nombre_serie,descripcion_serie,area_administrativa,administrativo,legal,fiscal,tramite,concentracion,total,publica,reservada,confidencial,original,copia,seccion
10C.3,Auditoria.,"Atención a solicitudes, requerimientos, recomendaciones, observaciones y acciones formuladas por organismos fiscalizadores y dependencias globalizadoras, y su seguimiento.",Coordinación de Atención a Organismos Fiscalizadores,X,X,,2,3,5,X,,,X,,10C. Control de Actividades Públicas
12C.6,Solicitudes de acceso a la información.,"Documentos que muestran las actividades de recepción, turno y gestión de las solicitudes de acceso a la información presentadas por los ciudadanos ante la Comisión Nacional del Agua.","Unidad de Transparencia, Turno y Seguimiento.",X,X,,1,4,5,X,,,X,,12C. Transparencia y Acceso a la Información
1C.10,"Instrumentos jurídicos consensuales (convenios, bases de colaboración, acuerdos, etc.).","Registro de contratos, convenios y demás instrumentos jurídicos de naturaleza análoga.",Gerencia de procedimientos Administrativos,X,X,,1,5,6,X,,,X,,1C. Legislación
2C.10,Amparos.,"Documentos que demuestran las actividades de la defensa legal de los intereses de la Federación y de la Comisión Nacional del Agua, en los juicios de Amparo, cuando el Director General y Titulares en las Unidades Administrativas, funjan como quejosos, autoridad responsable o terceros llamados a juicio dentro de los procedimientos Judiciales y Administrativos.",Jefatura de Proyecto de Juicios de Amparo,X,X,,1,4,5,X,,,X,,2C. Asunto Jurídicos
2C.12,Opiniones Técnico Jurídicas.,"Revisión documental jurídica y técnica a proyectos de Procedimientos de Acuerdo de Declaratoria de Propiedad Nacional de Aguas Nacionales y sus Bienes Públicos inherentes; y de Avisos de Demarcación y Delimitación de la Zona Federal de los cuerpos de Agua de Propiedad Nacional, Revisión documental Jurídica y Técnica a los Procedimientos de Expropiación, Indemnización y Regularización jurídica de inmuebles a cargo de la Comisión, Revisión documental Jurídica para llevar a cabo el Trámite de Justipreciación y/o Avalúo de bienes a cargo de la Comisión.",Gerencia de procedimientos Administrativos,X,X,,2,5,7,X,,,X,,2C. Asunto Jurídicos
2C.18,Derechos Humanos.,"Elaboración de informes, derivados de las quejas promovidas por los particulares, remisión de información o seguimiento a investigaciones, solicitada por la Comisión Nacional de los Derechos Humanos, así como el seguimiento y cumplimiento de las recomendaciones a la Comisión Nacional del Agua",Subdirecciones Generales,X,X,,1,4,5,X,,,X,,2C. Asunto Jurídicos
2C.6,"Asistencia, consulta y asesorías.","Documentos producidos en respuesta a las consultas legales recibidas referente a los proceso de emisión de opiniones legislativas, dictaminación jurídica de instrumentos normativos y resolución de consultas.",Gerencia de lo consultivo,X,,,5,5,10,X,,,X,,2C. Asunto Jurídicos
2C.7,"Estudios, dictámenes e informes.","Elaboración de dictámenes periciales en materia de ingeniería civil, topografía, agronomía, hidráulica, valuación, contabilidad.",Gerencia de Procedimientos Administrativos,X,X,,1,9,10,X,,,X,,2C. Asunto Jurídicos
2C.8,Juicios contra la dependencia.,"Documentos que demuestran las actividades de la defensa legal de los intereses de la Federación y de la Comisión Nacional del Agua, en los juicios de carácter Agrarios, Civiles, Fiscales y Penales, cuando el Director General y Titulares en las Unidades Administrativas, funjan como actores, demandados o terceros llamados a juicio dentro de los procedimientos judiciales y administrativos.",Subgerencia de Procedimientos y Programas,X,X,,1,4,5,X,,,X,,2C. Asunto Jurídicos
2S.1,Concertación de mecanísmos de cooperación internacional para apoyo de la política hídrica nacional.,"Concertación de mecanismos de financiamiento y de cooperación técnica y científica internacional en apoyo de la política hídrica nacional, documentos derivados de contactos de Conagua con instituciones gubernamentales y no gubernamentales, empresa o instituciones internacionales y/o gobiernos de otros países en relación a asuntos hídricos nacionales.",Subdirección General Técnica,X,,,3,3,6,X,,,X,,2S. Adminsitración de las Aguas Nacionales y sus Bienes Públicos Inherentes
